algorithm,execution_time,success,board,N
simulated_annealing,0.021203041076660156,"(100.0, 0.01, 0.99, False)","[2, 6, 4, 3, 7, 5, 1, 0]",8
simulated_annealing,0.025603055953979492,"(100.0, 0.01, 0.99, False)","[0, 3, 2, 5, 7, 1, 6, 4]",8
simulated_annealing,0.030544042587280273,"(100.0, 0.01, 0.99, False)","[1, 2, 7, 0, 4, 6, 3, 5]",8
simulated_annealing,0.02287912368774414,"(100.0, 0.01, 0.99, False)","[1, 3, 4, 6, 5, 7, 2, 0]",8
simulated_annealing,0.021036863327026367,"(100.0, 0.01, 0.99, False)","[3, 6, 2, 1, 0, 7, 5, 4]",8
simulated_annealing,0.02630758285522461,"(100.0, 0.01, 0.99, False)","[1, 2, 3, 5, 0, 4, 7, 6]",8
simulated_annealing,0.0225069522857666,"(100.0, 0.01, 0.99, False)","[3, 6, 2, 7, 0, 4, 1, 5]",8
simulated_annealing,0.023623943328857422,"(100.0, 0.01, 0.99, False)","[1, 4, 7, 0, 3, 5, 2, 6]",8
simulated_annealing,0.021439075469970703,"(100.0, 0.01, 0.99, False)","[7, 4, 5, 3, 6, 2, 1, 0]",8
simulated_annealing,0.023416519165039062,"(100.0, 0.01, 0.99, False)","[0, 5, 4, 7, 1, 2, 6, 3]",8
simulated_annealing,0.02289128303527832,"(100.0, 0.01, 0.99, False)","[4, 5, 6, 7, 0, 3, 1, 2]",8
simulated_annealing,0.02306389808654785,"(100.0, 0.01, 0.99, False)","[7, 4, 1, 6, 0, 2, 5, 3]",8
simulated_annealing,0.029799222946166992,"(100.0, 0.01, 0.99, False)","[2, 3, 7, 5, 0, 6, 1, 4]",8
simulated_annealing,0.022924184799194336,"(100.0, 0.01, 0.99, False)","[0, 3, 5, 7, 1, 4, 6, 2]",8
simulated_annealing,0.024619340896606445,"(100.0, 0.01, 0.99, False)","[4, 6, 1, 2, 7, 5, 3, 0]",8
simulated_annealing,0.019088029861450195,"(100.0, 0.01, 0.99, False)","[3, 4, 7, 1, 6, 5, 0, 2]",8
simulated_annealing,0.019808530807495117,"(100.0, 0.01, 0.99, False)","[1, 0, 4, 5, 2, 3]",6
simulated_annealing,0.016983747482299805,"(100.0, 0.01, 0.99, False)","[4, 5, 3, 2, 1, 0]",6
simulated_annealing,0.028255462646484375,"(100.0, 0.01, 0.99, False)","[3, 5, 4, 0, 2, 1]",6
simulated_annealing,0.0076563358306884766,"(100.0, 0.01, 0.99, False)","[2, 1, 5, 0, 4, 3]",6
